Number,State,Value,Param batch_size,Param exploration_final_eps,Param exploration_fraction,Param gamma,Param gradient_steps,Param learning_rate,Param net_arch,Param tau
0,COMPLETE,-2.727518320083618,32,0.026844247528777843,0.16239780813448107,,2,5.6115164153345e-05,64_64,0.029621516588303493
1,COMPLETE,-3.7207608222961426,64,0.05045321958909213,0.34474115788895177,,4,2.3270677083837777e-05,256_256,0.0031357757322577457
2,COMPLETE,-3.5369582176208496,256,0.09833799306027749,0.4233589392465845,,1,0.000164092867306479,256_256,0.0014653521030672135
3,COMPLETE,-3.5464401245117188,128,0.2347885187747232,0.48783385110582345,,4,0.00021137059440645722,64_64_64,0.03946212980759095
4,COMPLETE,-3.5528252124786377,64,0.050868025242681164,0.31707843326329943,,2,5.989003672254293e-05,256_256,0.02306261812167794
5,COMPLETE,-3.4757513999938965,32,0.19075645677999178,0.4452413703502375,,4,0.0002870875348195468,256_256,0.0036491004518573586
6,PRUNED,-3.916802167892456,256,0.16159252052077827,0.2975182385457563,,2,1.7345566642360933e-05,64_64_64,0.005325732706437205
7,PRUNED,-3.6458301544189453,64,0.05675417330366128,0.21590058116550723,,4,3.151987295193886e-05,256_256,0.03797767944247855
8,COMPLETE,-3.4464588165283203,32,0.247224282117523,0.27084311545050255,,2,0.00041198396246051877,64_64_64,0.02899715852166589
9,PRUNED,-3.797718048095703,256,0.08301686578935559,0.48497891797684456,,1,4.4300218067679785e-05,64_64,0.006995363653959084
10,PRUNED,-3.5787460803985596,32,0.015208943928297802,0.10301892772651738,,2,0.0007767353816237047,64_64,0.015223019520179862
11,PRUNED,-3.5546131134033203,32,0.2975536819907941,0.15022118881861632,,2,0.0008370629091525425,128_128,0.015291389813085334
12,PRUNED,-3.7644944190979004,32,0.25615072624042073,0.24958486413217945,,2,9.20010236020791e-05,64_64_64,0.014880515508412628
13,COMPLETE,-3.436434507369995,32,0.12775729580749212,0.20979398931299242,,2,0.00038165556248635226,64_64,0.04808832844365601
14,COMPLETE,-3.5242602825164795,128,0.13090813641497517,0.18855935725117667,,2,0.00010676916501410116,64_64,0.042017013570825656
15,FAIL,,32,0.12818220410680115,0.15252637145872186,,2,0.00036999395265528636,64_64,0.049226956814019764
16,PRUNED,-3.8170828819274902,32,0.12023524691617919,0.15007311778911053,,2,0.00043260969237996123,64_64,0.02129551557470182
17,PRUNED,-4.283302307128906,32,0.1786542729257599,0.10437699646191383,,1,1.1469242186751729e-05,64_64,0.011120357873223689
18,PRUNED,-3.598590135574341,32,0.015256529001139791,0.1869377977662454,,2,9.20010236020791e-05,128_128,0.04385019712615598
19,PRUNED,-4.285004138946533,128,0.20501864301790337,0.370727223238246,,2,4.913460742665322e-05,64_64,0.0011404110350940056
20,PRUNED,-4.285948753356934,32,0.13460708032206367,0.2065053677944569,,1,0.00015089512900106275,64_64,0.009792316462349689
21,COMPLETE,-3.4472217559814453,32,0.08395009219109642,0.15252637145872186,,2,0.0005306852682894703,64_64,0.0276656110335896
22,COMPLETE,-3.4533019065856934,32,0.29556590533108273,0.26011370948466295,,2,0.00036895326135627103,64_64_64,0.02724887260336699
23,PRUNED,-3.5745511054992676,32,0.22305393956027134,0.24162697367280114,,2,0.0002601893075144818,64_64_64,0.03025559130180068
24,COMPLETE,-3.472156047821045,32,0.25929846380670984,0.28831385696510436,,2,0.0005900868748270891,128_128,0.048190994483690436
25,COMPLETE,-3.4420344829559326,32,0.15863555536911234,0.2721808331614443,,2,0.00013687569099260635,64_64_64,0.020019383004441456
26,PRUNED,-3.8108882904052734,32,0.1497906250253822,0.22738211957628396,,2,6.657447583582059e-05,64_64,0.018358144265356396
27,PRUNED,-3.7385125160217285,256,0.10657125385516063,0.18163828014886382,,2,0.0001339510809529369,64_64,0.010437444157261675
28,PRUNED,-3.54217267036438,64,0.1648530357256215,0.13114723958513608,,2,0.00020921423039360623,64_64_64,0.049885265321481465
29,PRUNED,-3.703000545501709,128,0.07229523677552174,0.33448262258989464,,4,3.62730722410475e-05,128_128,0.03317970399276221
30,PRUNED,-4.28528356552124,64,0.03916706331031514,0.37384459649748075,,1,2.7081037125338113e-05,64_64,0.020187783141332634
31,PRUNED,-3.544104814529419,32,0.20104903457651363,0.2811069187053037,,4,7.160748438863042e-05,64_64_64,0.0021918786620505008
32,COMPLETE,-3.44830584526062,32,0.2621282123842257,0.26992327159924007,,2,0.00032248984457304824,64_64_64,0.027933154025250474
33,PRUNED,-3.5853066444396973,32,0.22288552738161155,0.22652443034662084,,2,0.0004592576582461337,64_64_64,0.03158120832410601
