Number,State,Value,Param batch_size,Param ent_coef,Param gamma,Param learning_rate,Param n_stack,Param n_steps,Param net_arch
0,COMPLETE,-2.729461193084717,32,0.3984727409321965,0.9724674002393291,5.6115164153345e-05,40,512,64_64
1,COMPLETE,-3.43498158454895,64,0.02702051927323664,0.9451509284374866,3.8396292998041685e-05,50,512,128_128
2,COMPLETE,-3.2755470275878906,64,0.10568529720322861,0.9308593965328517,3.292759134423613e-05,20,4096,64_64
3,COMPLETE,-2.869518518447876,32,0.20107772633451432,0.9073805137242973,1.913588048769229e-05,40,512,64_64_64
4,COMPLETE,-2.846719264984131,64,0.043994648748445095,0.9118398303478918,0.000594874681321977,10,4096,256_256
5,PRUNED,-3.6778767108917236,64,0.010505399655051779,0.9920400675819148,3.797544798678414e-05,15,2048,64_64
6,PRUNED,-3.606743335723877,32,0.02367011386702096,0.9933480606873394,1.736723715159314e-05,20,2048,64_64_64
7,PRUNED,-3.005711317062378,64,0.01524335441729033,0.966541419193182,0.0009360540102485373,10,512,64_64
8,PRUNED,-3.6689987182617188,32,0.029678414560073425,0.9927362688849367,0.00024092145436664767,10,4096,64_64
9,PRUNED,-4.137486934661865,128,0.18143501127770328,0.9635611329692745,0.0005945287330479985,50,2048,256_256
10,COMPLETE,-2.5777859687805176,256,0.36702361139933865,0.9689156625324737,0.00011832632980209524,40,1024,128_128
11,PRUNED,-3.053112268447876,256,0.4595288326499768,0.9725496617922506,0.00010306741603815397,40,1024,128_128
12,COMPLETE,-2.5899696350097656,256,0.42226708779854916,0.9787610281590581,9.20010236020791e-05,30,1024,128_128
13,PRUNED,-3.2965903282165527,256,0.09231380813187526,0.9508424386390271,0.00012889860610921266,30,1024,128_128
14,PRUNED,-3.4407477378845215,256,0.005684146347806688,0.9806120566733608,0.000211202407845651,30,1024,128_128
15,PRUNED,-2.9328219890594482,256,0.2775171321283066,0.9528425403981308,0.00021682044578639163,5,1024,128_128
16,COMPLETE,-2.684082508087158,256,0.10466626463484006,0.9812267530654825,6.767265768662897e-05,30,1024,128_128
17,PRUNED,-2.830136775970459,128,0.25989896650082256,0.958364197382206,0.00012328313968793528,15,1024,128_128
18,PRUNED,-3.3497824668884277,256,0.13262170192107164,0.9324705468253778,1.0236975989368225e-05,5,1024,128_128
19,COMPLETE,-2.7257397174835205,256,0.46930772950740157,0.9383964762212444,0.00016884057754734628,30,1024,64_64_64
