Number,State,Value,Param clip_range,Param ent_coef,Param gamma,Param learning_rate,Param lstm_hidden_size,Param recurrent_batch_size,Param recurrent_n_epochs,Param recurrent_n_steps
0,COMPLETE,-2.6528077125549316,0.279597545259111,0.3984727409321965,0.9858677031487588,5.6115164153345e-05,256,32,10,512
1,COMPLETE,-4.220361709594727,0.14184815819561256,0.01911737612337593,0.9799807918413965,7.309539835912905e-05,256,32,5,256
2,COMPLETE,-4.279045104980469,0.23204574812188042,0.007839966958361509,0.9835274182990956,4.066563313514796e-05,256,128,5,128
3,COMPLETE,-2.5351078510284424,0.15879485872574356,0.3489140632563014,0.9543361326005441,0.0001569639638866114,128,64,3,64
4,COMPLETE,-3.5814099311828613,0.3187021504122962,0.21374347276476074,0.9846360098485332,1.0257563974185649e-05,32,128,5,64
5,PRUNED,-4.28678035736084,0.2683831592708489,0.13349333371372293,0.9872784673822279,1.7345566642360933e-05,32,128,10,512
6,PRUNED,-4.279045104980469,0.14836638617620135,0.007127378522013717,0.9641978211927746,2.8681134821030064e-05,32,64,10,256
7,COMPLETE,-2.5141735076904297,0.25322419077326974,0.26328806385787124,0.9503406543960283,0.0004325432427964555,32,64,5,64
8,PRUNED,-4.3006391525268555,0.2508037069686585,0.005925757830021555,0.979868652365015,3.712624179040528e-05,128,64,3,256
9,PRUNED,-4.286829948425293,0.3505907486767714,0.058954827433881536,0.9544241987326659,0.00018495216589727275,256,128,5,64
10,COMPLETE,-2.4947214126586914,0.37968710257353616,0.07335835454497013,0.9975073184286054,0.0007767353816237047,64,64,5,128
11,PRUNED,-2.600480556488037,0.38374291599211385,0.07260095964615115,0.9986278040036691,0.0008611965539449136,64,64,5,128
12,PRUNED,-3.4146342277526855,0.20053639379798877,0.024160047116806388,0.9686998209130981,0.0008800227412785106,64,64,5,128
13,PRUNED,-4.189540863037109,0.39880495952423056,0.12301469683977692,0.9963420076947443,0.0003555390034854127,64,64,5,64
14,PRUNED,-4.226213455200195,0.3056513824386803,0.029155687545278218,0.9637562172718807,0.0004261548525190917,32,64,5,128
15,FAIL,,0.20617180130741336,0.15989737715028238,0.972538243826119,0.000368206937082024,64,64,3,128
